"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"143","Lyon College","Batesville","AR","72501","0.6471","660","26","0.5126582278","0.0303","0","0","0.1616","0.0808","0","0.0202","0","0.4955","43900","37700","43100","50100",1
"144","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114","NULL","NULL","NULL","0.7586206897","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"145","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342","NULL","NULL","NULL","0.4324324324","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"146","University of Arkansas","Fayetteville","AR","72701","0.609","630","27","0.4388689765","0.0095","0.0974","0","0.05","0.0091","0","0.0291","0","0.5902","45800","49000","52800","65500",1
"147","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601","0.2937","510","19","0.1940298507","0.0306","0","0.078","0.0474","0","0","0.0167","0","0.2297","28100","33100","36400","44400",1
"148","Arkansas State University-Beebe","Beebe","AR","72012-1000","NULL","NULL","NULL","0.271","0","0","0.0982","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50800",2
"149","Arkansas State University-Main Campus","Jonesboro","AR","72401","0.6325","575","25","0.3319368353","0.0115","0.0229","0.0078","0.0325","0.0032","0","0.0197","0","0.3837","31800","38900","43800","53400",1
"150","Arkansas Tech University","Russellville","AR","72801-2222","0.9035","540","25","0.3700221239","0.0226","0.0407","0.0198","0.0147","0.0023","0","0.0147","0","0.4283","35900","38400","42700","53700",1
"151","University of Arkansas at Monticello","Monticello","AR","71656","NULL","NULL","NULL","0.1748526523","0","0","0.0727","0.0081","0","0","0.0023","0","0.28","35300","38800","40800","53000",1
"152","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076","NULL","NULL","NULL","0.5625","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32700",3
"153","Baptist Health College-Little Rock","Little Rock","AR","72210-2820","0.6406","NULL","21","0.5656108597","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","71700",2
"154","Black River Technical College","Pocahontas","AR","72455","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","27300","30900","PrivacySuppressed","44500",2
"155","University of Central Arkansas","Conway","AR","72035-0001","0.9093","NULL","25","0.3426333823","0.0041","0","0","0.0245","0.003","0","0.0053","0","0.4006","36400","42600","46000","56300",1
"156","Central Baptist College","Conway","AR","72034","0.7437","570","23","0.2864864865","0.0909","0","0","0.0091","0","0.0182","0","0","0.3558","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","60700",1
"157","Cossatot Community College of the University of Arkansas","De Queen","AR","71832","NULL","NULL","NULL","PrivacySuppressed","0.0332","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","39300",2
"158","Crowley's Ridge College","Paragould","AR","72450","NULL","NULL","NULL","0.203125","0","0","0","0","0","0","0","0","0.3019","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"159","Crowley's Ridge Technical Institute","Forrest City","AR","72335-0925","NULL","NULL","NULL","0.0689655172","0","0","0.0284","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43100",3
"160","East Arkansas Community College","Forrest City","AR","72335-2204","NULL","NULL","NULL","0.1153846154","0","0","0.1505","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45900",2
"161","Eastern College of Health Vocations-Little Rock","Little Rock","AR","72205","NULL","NULL","NULL","0.4609375","0","0","0","0","0","0","0","0","NULL","19600","24700","PrivacySuppressed","31900",3
"162","Imagine-Paul Mitchell Partner School","North Little Rock","AR","72117","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"163","National Park Community College","Hot Springs","AR","71913","NULL","NULL","NULL","0.1647940075","0.0112","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46200",2
"164","University of Arkansas Community College-Batesville","Batesville","AR","72503-3350","NULL","NULL","NULL","0.278978389","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","49400",2
"165","Harding University","Searcy","AR","72143","0.7218","640","27","0.4759568204","0.0363","0.0201","0","0.0313","0.005","0","0.0038","0","0.6325","41700","40300","48000","60000",1
"166","Henderson State University","Arkadelphia","AR","71999-0001","0.5889","520","24","0.0921610169","0.0067","0","0","0.0582","0.0045","0","0.0358","0","0.3076","36400","38400","41400","50400",1
"167","Hendrix College","Conway","AR","72032-3080","0.825","670","31","0.4259259259","0.028","0","0","0.1573","0.014","0","0.0524","0","0.7286","PrivacySuppressed","45900","44000","50200",1
"168","Hot Springs Beauty College","Hot Springs","AR","71901","NULL","NULL","NULL","0.3555555556","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"169","Jefferson Regional Medical Center School of Nursing","Pine Bluff","AR","71603","0.6977","NULL","21","0.6944444444","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"170","John Brown University","Siloam Springs","AR","72761","0.7251","620","27","0.5766738661","0","0.0369","0","0.0451","0.0061","0","0.0102","0","0.6565","43000","55900","66000","75000",1
"171","Lees School of Cosmetology","North  Little Rock","AR","72114-3800","NULL","NULL","NULL","0.4375","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"172","Career Academy of Hair Design","Springdale","AR","72764-7128","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"173","Marsha Kay Beauty College","Mountain Home","AR","72653-3164","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"174","Academy of Salon and Spa","Fort Smith","AR","72901","NULL","NULL","NULL","0.5949367089","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"175","Arkansas State University Mid-South","West Memphis","AR","72301-3829","NULL","NULL","NULL","0.0652631579","0.0928","0","0.0464","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41800",2
"176","Arkansas Northeastern College","Blytheville","AR","72316-1109","NULL","NULL","NULL","0.1793814433","0","0","0.0426","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47100",2
"177","Margaret's Hair Academy Inc","Monticello","AR","71655","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"178","New Tyler Barber College Inc","North Little Rock","AR","72114-4973","NULL","NULL","NULL","0.5609756098","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"179","North Arkansas College","Harrison","AR","72601-5508","NULL","NULL","NULL","0.3073394495","0.0449","0","0.0306","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45300",2
"180","Northwest Technical Institute","Springdale","AR","72764","NULL","NULL","NULL","0.1086956522","0.1147","0","0.133","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48100",3
"181","Ouachita Baptist University","Arkadelphia","AR","71998-0001","0.6375","610","26","0.5162337662","0.0078","0.0039","0","0.0775","0.0039","0","0.0116","0","0.6274","43200","37900","42500","55300",1
"182","College of the Ouachitas","Malvern","AR","72104-0816","NULL","NULL","NULL","0.3097643098","0.0357","0","0.0109","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46600",2
"183","Ozarka College","Melbourne","AR","72556-0010","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44000",2
"184","University of the Ozarks","Clarksville","AR","72830","0.8515","570","25","0.362962963","0","0","0","0.1386","0.0297","0","0.0099","0","0.4643","31200","30800","38400","44700",1
"185","University of Arkansas Community College-Morrilton","Morrilton","AR","72110","NULL","NULL","NULL","0.2453125","0.0127","0","0.3215","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50900",2
"186","Philander Smith College","Little Rock","AR","72202-3799","0.68","510","19","0.3842364532","0.0612","0","0","0.102","0.0306","0","0.0102","0","0.3115","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40800",1
"187","Phillips Community College of the University of Arkansas","Helena","AR","72342-0785","NULL","NULL","NULL","0.0610021786","0.0317","0","0.0909","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41700",2
"188","Southeast Arkansas College","Pine Bluff","AR","71603","NULL","NULL","NULL","PrivacySuppressed","0.0454","0","0.0403","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44100",2
"189","Professional Cosmetology Education Center","El Dorado","AR","71730-4009","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"190","Pulaski Technical College","North Little Rock","AR","72118-3347","NULL","NULL","NULL","0.1572822823","0","0","0.0048","0","0","0.0038","0","0","NULL","27900","36500","42800","48200",2
"191","University of Arkansas Community College-Hope","Hope","AR","71801","NULL","NULL","NULL","0.1163895487","0.0187","0","0.0824","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48400",2
"192","Rich Mountain Community College","Mena","AR","71953","NULL","NULL","NULL","PrivacySuppressed","0.0305","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36300",2
"193","Paul Mitchell the School-Arkansas","Fayetteville","AR","72703","NULL","NULL","NULL","0.3488372093","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"194","Searcy Beauty College","Searcy","AR","72143","NULL","NULL","NULL","0.4193548387","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"195","Williams Baptist College","Walnut Ridge","AR","72476","0.585","NULL","23","0.3209876543","0.03","0","0","0.08","0","0","0","0","0.3571","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46800",1
"196","South Arkansas Community College","El Dorado","AR","71731-7010","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51600",2
"197","Southern Arkansas University Main Campus","Magnolia","AR","71753","0.6687","610","24","0.2884057971","0.0115","0","0.0115","0.0531","0.0069","0","0.0346","0","0.328","36600","41600","42000","56200",1
"198","Southern Arkansas University Tech","Camden","AR","71701-1906","NULL","NULL","NULL","0.2337164751","0.0505","0","0.0691","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48400",2
"199","Velvatex College of Beauty Culture","Little Rock","AR","72202-5452","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"200","University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649","0.559","580","24","0.2414008755","0.0269","0","0.0376","0.0169","0","0","0.0023","0","0.185","30200","36500","44300","50400",1
"201","Academy of Art University","San Francisco","CA","94105","NULL","NULL","NULL","0.1105866487","0.0525","0","0","0","0","0","0","0","0.3358","39300","48500","49700","65900",1
"202","ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","95670-6034","0.7669","NULL","NULL","0.3430191354","0.2773","0","0.3319","0","0","0","0","0","0.3714","38100","45300","46100","64300",1
"203","Academy of Chinese Culture and Health Sciences","Oakland","CA","94612","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"204","The Academy of Radio and TV Broadcasting","Huntington Beach","CA","92647","NULL","NULL","NULL","0.7356321839","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50900",3
"205","Avalon School of Cosmetology-Alameda","Alameda","CA","94501","NULL","NULL","NULL","0.3448275862","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"206","College of Alameda","Alameda","CA","94501","NULL","NULL","NULL","PrivacySuppressed","0.0165","0","0","0","0.0033","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","53800",2
"207","Allan Hancock College","Santa Maria","CA","93454-6399","NULL","NULL","NULL","PrivacySuppressed","0.0083","0.0089","0.003","0.0042","0.016","0","0.0202","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","50500",2
"208","American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA","90028","0.4582","NULL","NULL","0.6197183099","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","57200",2
"209","American Baptist Seminary of the West","Berkeley","CA","94704-3029","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"210","American Film Institute Conservatory","Los Angeles","CA","90027-1625","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"211","American Beauty College","West Covina","CA","91790","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"212","American Career College-Los Angeles","Los Angeles","CA","90004","NULL","NULL","NULL","0.6934056523","0","0","0","0","0","0","0","0","NULL","29500","36400","40700","55300",2
"213","American Conservatory Theater","San Francisco","CA","94108-5834","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"214","American River College","Sacramento","CA","95841-4286","NULL","NULL","NULL","0.0568922306","0.0177","0.001","0.0115","0","0.0062","0","0.0308","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","55600",2
"215","Everest College-Hayward","Hayward","CA","94541","NULL","NULL","NULL","0.5627240143","0","0","0","0","0","0","0","0","NULL","22400","30800","38000","44500",3
"216","Antelope Valley College","Lancaster","CA","93536-5426","NULL","NULL","NULL","0.0836390315","0.0444","0","0.069","0.0189","0.0115","0","0.0041","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","55300",2
"217","Art Center College of Design","Pasadena","CA","91103","0.6321","NULL","NULL","0.4153846154","0","0","0","0","0","0","0","0","0.5443","55900","61700","66400","92100",1
"218","Associated Technical College-Los Angeles","Los Angeles","CA","90017-1604","NULL","NULL","NULL","0.3148450245","0","0","0","0","0","0","0","0","NULL","27100","PrivacySuppressed","PrivacySuppressed","48200",3
